iter	Passed	Remaining
584	3572	2534
585	3577	2527
586	3581	2519
587	3586	2513
588	3590	2505
589	3594	2497
590	3598	2490
591	3602	2482
592	3607	2475
593	3611	2468
594	3615	2461
595	3619	2453
596	3623	2446
597	3627	2438
598	3631	2431
599	3635	2423
600	3639	2416
601	3643	2409
602	3647	2401
603	3651	2394
604	3656	2387
605	3660	2379
606	3664	2372
607	3668	2364
608	3672	2357
609	3676	2350
610	3681	2343
611	3685	2336
612	3688	2328
613	3693	2321
614	3699	2316
615	3704	2309
616	3708	2301
617	3712	2294
618	3715	2287
619	3720	2280
620	3725	2273
621	3729	2266
622	3733	2259
623	3738	2252
624	3743	2245
625	3748	2239
626	3755	2233
627	3759	2226
628	3762	2219
629	3766	2212
630	3771	2205
631	3775	2198
632	3779	2191
633	3783	2184
634	3789	2178
635	3794	2171
636	3800	2165
637	3805	2159
638	3811	2153
639	3819	2148
640	3824	2141
641	3830	2136
642	3838	2130
643	3842	2124
644	3847	2117
645	3852	2110
646	3856	2104
647	3861	2097
648	3866	2091
649	3871	2084
650	3876	2078
651	3880	2071
652	3884	2064
653	3888	2057
654	3893	2050
655	3898	2044
656	3902	2037
657	3906	2030
658	3910	2023
659	3916	2017
660	3920	2010
661	3924	2003
662	3928	1996
663	3933	1990
664	3938	1983
665	3942	1977
666	3946	1970
667	3950	1963
668	3955	1956
669	3960	1950
670	3965	1944
671	3973	1939
672	3977	1932
673	3981	1925
674	3986	1919
675	3991	1912
676	3998	1907
677	4005	1902
678	4014	1897
679	4021	1892
680	4025	1885
681	4032	1880
682	4037	1873
683	4041	1867
684	4046	1860
685	4051	1854
686	4056	1848
687	4063	1842
688	4070	1837
689	4074	1830
690	4078	1823
691	4083	1817
692	4087	1810
693	4093	1804
694	4097	1798
695	4104	1792
696	4109	1786
697	4113	1779
698	4119	1774
699	4124	1767
700	4128	1760
701	4132	1754
702	4136	1747
703	4140	1740
704	4145	1734
705	4150	1728
706	4154	1721
707	4160	1715
708	4163	1709
709	4168	1702
710	4172	1695
711	4176	1689
712	4180	1682
713	4184	1676
714	4189	1669
715	4193	1663
716	4198	1657
717	4201	1650
718	4206	1644
719	4210	1637
720	4214	1630
721	4218	1624
722	4222	1617
723	4227	1611
724	4231	1605
725	4235	1598
726	4239	1592
727	4243	1585
728	4247	1579
729	4251	1572
730	4255	1565
731	4259	1559
732	4264	1553
733	4269	1547
734	4273	1540
735	4277	1534
736	4281	1527
737	4286	1521
738	4291	1515
739	4295	1509
740	4298	1502
741	4302	1496
742	4308	1490
743	4312	1483
744	4316	1477
745	4320	1470
746	4324	1464
747	4329	1458
748	4333	1452
749	4339	1446
750	4343	1440
751	4347	1433
752	4351	1427
753	4355	1421
754	4360	1414
755	4365	1408
756	4368	1402
757	4372	1396
758	4376	1389
759	4380	1383
760	4384	1377
761	4388	1370
762	4393	1364
763	4397	1358
764	4403	1352
765	4407	1346
766	4411	1339
767	4414	1333
